DUMMY_ENTITY	0
NO_OP_ENTITY	1
08524735	492
08860123	488
08199025	311
11579418	279
01507175	266
08441203	250
12205694	246
06845599	243
01864707	235
00126264	229
11585340	219
11556857	214
01432517	207
13112664	206
11567411	200
01762525	180
01342529	175
11911591	170
11575425	166
08574314	148
01759182	138
08103777	132
01429349	128
08633957	126
00759694	121
09411430	114
01504437	113
06295235	111
00586262	106
13104059	105
01494310	97
01657723	93
06128570	93
01835496	92
09765278	86
01862557	80
06084469	78
11573660	78
12039743	76
00109660	74
12501745	74
00243918	73
11592146	73
00015388	71
08337324	71
06037666	70
08691669	70
08766988	70
00173338	67
08723006	66
00941990	64
02327200	63
13167078	63
11534677	61
11561228	61
11562747	61
00471613	60
03740161	60
15113229	60
00523513	59
03183080	59
08083599	59
01675963	57
11590783	57
05225602	56
13518963	56
13489037	55
01850315	54
09189411	54
09316454	54
09403734	54
00146138	53
12100538	53
00407535	52
11867525	52
13920835	52
11571907	51
01831531	50
02553196	50
07020895	50
07809368	50
10453533	50
02604760	49
11669921	49
03051540	48
03082979	48
08801678	48
10467395	48
12423565	48
05943300	47
08544813	47
08655464	46
10650162	46
05946687	45
11554175	45
12838027	45
09275473	44
10020890	44
12651821	44
13100677	44
13118707	44
00017222	43
00671351	43
00956485	43
02554730	43
07951464	43
14625458	43
08698379	42
09023321	42
02913152	41
06043075	41
11744859	41
13109733	41
14662574	41
01617192	40
02176268	40
06851742	40
08780881	40
08921850	40
10599806	40
10705615	40
11672400	40
01626600	39
05269901	39
05418717	39
07705931	39
08552138	39
09334396	39
09360122	39
11545714	39
00983824	38
01656813	38
01974062	38
05333777	38
08700255	38
09207288	38
00024720	37
00030358	37
01904930	37
07283608	37
10547145	37
00021939	36
03485997	36
09623038	36
09641757	36
00637259	35
03309808	35
06394865	35
11565385	34
00331950	33
01621555	33
01931768	33
02210855	33
04341686	33
06449735	33
09060768	33
10515194	33
10677713	33
00978549	32
01332730	32
01502262	32
09141526	32
09610660	32
10123844	32
11555413	32
13121544	32
13166338	32
00883297	31
01313093	31
01525720	31
01552519	31
01659248	31
04105893	31
06066555	31
06828818	31
08102555	31
09977660	31
09998101	31
10450303	31
10605985	31
13526110	31
00205885	30
00351638	30
00831651	30
00968211	30
01094725	30
01938850	30
06479665	30
06791372	30
07037465	30
13601596	30
00233335	29
01708676	29
02862048	29
03323703	29
04616059	29
06613686	29
07371293	29
08107499	29
09148970	29
11566682	29
11778534	29
12041446	29
12102133	29
13108841	29
00047945	28
00235435	28
00658052	28
00681429	28
00740577	28
08695539	28
08696931	28
08975902	28
09117351	28
10129825	28
00026192	27
00142191	27
00283911	27
00339934	27
00358431	27
00628491	27
00654625	27
01719302	27
02079933	27
04194289	27
05250659	27
05311054	27
07296428	27
08654360	27
08897065	27
09632518	27
12581381	27
14151139	27
00031921	26
00863513	26
00933821	26
01435380	26
02339413	26
02691156	26
05220461	26
05470189	26
06057539	26
07120524	26
08108972	26
08673395	26
